,Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Consumer price index (2010 = 100),Life expectancy at birth (years),Mean years of schooling (years),Gender Development Index (GDI),"Unemployment, total (% of labour force)","Carbon dioxide emissions, production emissions per capita (tonnes)",Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),"Person held per 100,000 population",Happiness Index
79,Libya,Middle East and North Africa,3.7958294023816834,7106.59068892545,54.2546817939319,0.123327687918433,,72.718,7.573333333333333,0.971,18.552666666666667,8.02,65.21575,,5.223333333333334,,5.488800049
80,Mongolia,East Asia,2.0354549512198603,4082.930934453463,40.1128490470476,9.102554678733549,182.99992022258402,69.68933333333332,10.192666666666666,1.0193333333333332,6.207999999999999,8.6755,60.28522,3.9,18.60366666666667,146.44892898266667,5.456200123
81,Malaysia,Southeast Asia,95.95949576421653,11024.069964610133,16.0358087060705,58.4822401460965,120.57712603455,75.99499999999999,10.231,0.9713333333333333,3.361333333333333,7.996,65.65654,3.735,5.640000000000001,196.94923237566664,5.384300232
82,Vietnam,Southeast Asia,308.111834961998,2549.08169405913,29.6267283386303,46.735543586932,158.73941376472865,75.31933333333333,8.24,0.9979999999999999,2.0196666666666667,2.058,65.29554,5.925,7.363333333333333,133.76922235633333,5.353499889
83,Indonesia,Southeast Asia,142.55463104945034,3955.5463777006803,16.5026533008949,49.71681600381496,146.69632856859866,71.50366666666666,8.040999999999999,0.9380000000000001,4.460999999999999,2.252,62.83141,2.87,2.5633333333333335,92.52638219700002,5.285600185
84,Ivory Coast,Sub-Saharan Africa,78.85037211740043,2233.8033031790196,25.8862663364222,9.630450733752623,112.30503259935834,57.40633333333333,5.224,0.819,3.266666666666667,0.331,54.8051,4.32,15.986233333333333,,5.233300209
85,Benin,Sub-Saharan Africa,101.87234835047896,1199.3115585877033,38.9999587632257,28.690581766583904,111.00600923923967,61.47133333333334,3.7496666666666667,0.8516666666666666,2.3590000000000004,0.62,55.51936,2.5650000000000004,12.931366666666667,69.806419399,5.21600008
86,Maldives,South Asia,1714.51,10139.346810797115,7.79582079890031,2.7333333333333294,136.42395558704368,78.62400000000001,6.885333333333333,0.9226666666666667,5.989333333333334,2.9695,69.95485,9.219999999999999,2.9299999999999997,373.087723963,5.197599888
87,Congo (Brazzaville),Sub-Saharan Africa,15.359265983406566,2382.1121095382064,46.6382202758892,64.35139092240117,122.48188035216401,64.27133333333333,6.507000000000001,0.9283333333333333,9.635,0.619,56.2464,2.54,11.714033333333333,,5.194399834
88,Azerbaijan,Commonwealth of Independent States,120.248801550508,4564.228381211603,19.9286636166698,13.413480956079866,153.099965886111,72.85566666666666,10.578666666666667,0.9403333333333332,5.136333333333334,3.71,63.64579,3.625,3.9333333333333336,221.765494852,5.164800167
89,Macedonia,Central and Eastern Europe,82.30786412899813,5876.540347588777,29.7269445083568,39.7101506740682,112.28166666666634,75.69233333333334,9.744666666666667,0.9493333333333333,20.292,3.5095,66.14368,6.585,7.2,,5.159800053
90,Ghana,Sub-Saharan Africa,130.82890920277768,2193.9256260601264,34.713514102152,35.0323459611497,259.80017296260166,63.770999999999994,7.184,0.908,4.236999999999999,0.6105,57.97876,3.435,10.879600000000002,49.7901034105,5.147999763
91,Nepal,South Asia,196.11000813858868,1140.6455211741302,99.7343737198505,41.5907220090687,179.76738723797732,70.47566666666667,4.856000000000001,0.9253333333333332,1.3843333333333334,0.3325,61.34199,5.665,9.696666666666667,71.403038978,5.137199879
92,Turkey,Middle East and North Africa,106.92850157434965,9721.843778048931,44.3115256776956,28.466137408018568,204.31707772795198,77.42933333333333,8.059666666666667,0.927,11.733000000000002,5.221500000000001,68.4146,4.15,2.283333333333333,319.17441451433336,5.131800175
93,China,East Asia,148.78348087778534,9622.055693468174,52.6645958291981,22.941737072647403,121.91002755895666,76.69466666666666,7.936,0.9586666666666667,4.345666666666666,6.987,68.52811,5.25,6.789999999999999,166.50706374,5.123899937
94,Turkmenistan,Commonwealth of Independent States,12.449132849573367,7055.500942360154,21.767720976212,8.78215904496414,,68.073,10.109333333333332,,3.857333333333333,13.178999999999998,62.11162,6.77,6.13,528.894776304,5.119100094
95,Bulgaria,Central and Eastern Europe,64.71611704740853,9230.754175481947,19.1491323370921,35.620854826823866,111.10953308258301,74.931,11.36,0.9946666666666667,5.238333333333333,6.493,66.28248,7.4,6.583333333333333,94.94006289100001,5.101500034
96,Morocco,Middle East and North Africa,80.72455896631563,3164.28231636706,32.5935414574286,12.820427216371634,110.18955830451166,76.45033333333333,5.558666666666667,0.8329999999999999,9.094666666666667,1.815,63.68608,5.275,7.286666666666666,234.2925644323333,5.094799995
97,Cameroon,Sub-Saharan Africa,53.351045390761065,1529.2612407801964,72.7930962237353,43.2664424277041,116.34459292347766,58.907333333333334,6.27,0.8676666666666666,3.3836666666666666,0.3245,54.51807,3.51,15.998800000000001,129.593378184,5.084899902
98,Venezuela,Latin America and Caribbean,32.804423785499665,,17.0085535697031,52.54348392948247,,72.14466666666667,10.312333333333335,1.0130000000000001,7.773333333333333,5.015000000000001,64.43692,4.89,2.1833333333333336,194.187701174,5.053199768
99,Algeria,Middle East and North Africa,17.728018145829733,4080.461683946267,38.8840106983002,0.8134105821469816,147.40328855611867,76.69066666666667,7.980333333333334,0.8596666666666667,11.860666666666667,3.6225,66.38806,6.3,2.5733333333333337,148.3768710486667,5.005099773
100,Senegal,Sub-Saharan Africa,82.35952838518669,1416.63977458894,40.6958258953758,42.321508336363166,107.82834941718467,67.66166666666668,3.079333333333333,0.8753333333333333,6.582,0.7364999999999999,59.36618,4.025,11.1733,69.6464416245,4.980800152
101,Guinea,Sub-Saharan Africa,50.53591350588747,956.2766399541318,26.062490198745,25.5127787725867,240.62045392530334,61.16366666666667,2.729333333333333,0.8163333333333332,4.287,0.255,53.32006,4.1,12.346666666666666,26.517461749,4.949299812
102,Niger,Sub-Saharan Africa,17.7247804005158,547.5316278282727,94.0538176774282,0.8719823162548354,110.10756219564934,62.01433333333333,2.0196666666666667,0.7256666666666666,0.47766666666666663,0.103,55.52364,7.495,10.1409,40.330311265,4.909599781
103,Laos,Southeast Asia,30.595010109763134,2553.36848888501,25.1095383439169,72.2032062391681,132.07738202911332,67.60233333333333,5.228000000000001,0.9256666666666667,0.6423333333333333,2.6785,60.51048,2.3899999999999997,6.12,,4.888599873
104,Albania,Central and Eastern Europe,104.550170316302,5071.447533363927,18.2006025215914,28.792001216545003,117.167089421321,78.45366666666666,10.085333333333333,0.9673333333333334,12.807,1.599,69.07545,5.135,3.923333333333334,185.41847188266664,4.882699966
105,Cambodia,Southeast Asia,92.04953168668327,1513.50281460679,25.6142918675755,47.471957851801506,127.43910934895166,69.55966666666666,4.884666666666667,0.9203333333333333,0.6706666666666666,0.633,61.50683,5.98,5.573333333333333,192.2534492355,4.848400116
